"company_name","average_growth_rate"
"Polygram Filmed Entertainment","1.87982816284165610047"
"Nostromo Pictures","1.85714285714285710000"
"The Safran Company","1.84853785857719494000"
"GreeneStreet Films","1.84702842377260983023"
"Good Machine","1.83207288293727019139"
"Tapestry Films","1.82500000000000000000"
"Pacific Film and Television Commission","1.82245208333333333333"
"Carolco Pictures","1.81879918327286749209"
"Tim Burton Productions","1.81694450477059173404"
"Stratus Film Co.","1.80508241758241760385"
"Hollywood Gang Productions","1.78058608058608058846"
"Marvel Knights","1.78048780487804880000"
"Creative Scotland","1.77185256662085120000"
"TF1 Films Productions","1.76144650490764966218"
"Himenu00f3ptero","1.73309386225206935000"
"Crystal Lake Entertainment","1.72727272727272730000"
"Montecito Picture Company, The","1.72555555555555555556"
"Studio 37","1.71512175219480290000"
"Metro-Goldwyn-Mayer Pictures","1.71428571428571430000"
"Annapurna Pictures","1.70156310535345314422"
"Ingenious Film Partners","1.695576968636869600465000"
"Warner Independent Pictures (WIP)","1.69010579163002950430"
"Hemdale Film Corporation","1.66666666666666665000"
"Centropolis Entertainment","1.64565656565656565379"
"Wales Creative IP Fund","1.64000000000000000000"
"Major Studio Partners","1.63095238095238094167"
"Red Hour Films","1.61837374177313202239"
"Alphaville Films","1.61326088877109286268"
"Walt Disney","1.60985449735449735926"
"Roth Films","1.59101801952665124021"
"FilmColony","1.58461538461538461539"
"Journeyman Pictures","1.57142857142857140000"
"Vanguard Films","1.56936845660249914458"
"Sighvatsson Films","1.53846153846153850000"
"Filmfour","1.53636363636363636364"
"Province of British Columbia Production Services Tax Credit","1.51164468864468863231"
"Jean Doumanian Productions","1.50000000000000000000"
"Wayfare Entertainment","1.50000000000000000000"
"Start Motion Pictures","1.50000000000000000000"
"Echo Lake Productions","1.50000000000000000000"
"Overture Films","1.500000000000000000000000"
"Gordon Company","1.5000000000000000"
"Michael London Productions","1.50000000000000000000"
"Chambara Pictures","1.50000000000000000000"
"Premiere Picture","1.50000000000000000000"
"Donners' Company","1.47902398989898990076"
"United Plankton Pictures","1.46666666666666670000"
"Hemdale Film","1.46267361111111110000"
"Provident Films","1.45555555555555556667"
"Broken Lizard Industries","1.44607843137254900000"
"China Film Co-Production Corporation","1.43638721177620608314"
"The Zanuck Company","1.43392857142857143572"
"Walt Disney Pictures","1.4252561872755539455380769231"
"Class 5 Films","1.42500000000000000000"
"Big Talk Productions","1.42008706467661690709"
"Kingsgate Films","1.40833333333333333334"
"Langley Park Production","1.40000000000000000000"
"Imagine Entertainment","1.39988142757843550686"
"Working Title Films","1.382676980592929973584565"
"Le Grisbi Productions","1.37620603797074385098"
"Ixtlan","1.37337662337662339091"
"Pantelion Films","1.36363636363636360000"
"Filmax","1.35773809523809522143"
"John Wells Productions","1.35612318840579709167"
"Rastar Pictures","1.35294117647058820000"
"Aldamisa Entertainment","1.34166666666666665000"
"Lucasfilm","1.338648194111866060924615"
"L.I.F.T. Production","1.33333333333333330000"
"Storefront Pictures","1.33333333333333330000"
"Mystery Clock Cinema","1.32592592592592592593"
"Studio Babelsberg","1.32283206050189745754"
"DNA Films","1.314814814814814807407778"
"A24","1.31325396825396826111"
"Bazmark Films","1.30152414635173256410"
"Bad Hat Harry Productions","1.28503493223947769402"
"Mediastream Dritte Film GmbH & Co. Beteiligungs KG","1.28205128205128203462"
"New World Pictures","1.27835497835497834952"
"Nu Image Films","1.27288254951103247836"
"New Legacy","1.27272727272727270000"
"Energy Entertainment","1.27272727272727270000"
"Dayday Films","1.26666666666666670000"
"Ram Bergman Productions","1.26666666666666665000"
"Rat Entertainment","1.25873015873015874444"
"Sudden Storm Productions","1.25000000000000000000"
"Plum Pictures","1.25000000000000000000"
"Yari Film Group","1.23396023024594453370"
"British Broadcasting Corporation (BBC)","1.229217194124026418081429"
"Walt Disney Productions","1.22294240238311580281"
"Mace Neufeld Productions","1.219867502188817813428889"
"Brooksfilms","1.20000000000000000000"
"21 Laps Entertainment","1.19890711333455201903"
"Endgame Entertainment","1.19271672771672771451"
"DMG Entertainment","1.19166666666666665000"
"Matador Pictures","1.17788461538461538462"
"Universal Studios","1.17614766689330413085"
"Media Rights Capital","1.17359708912099350346"
"Crescendo Productions","1.16666666666666670000"
"Key Creatives","1.16666666666666670000"
"Wonderland Sound and Vision","1.16354334554334553429"
"Deutsche Filmfu00f6rderfonds (DFFF)","1.15773933946488294891"
"PolyGram Filmed Entertainment","1.15064814814814814048"
"Spectacle Entertainment Group","1.14285714285714290000"
"STX Entertainment","1.13760683760683760684"
"Tapioca Films","1.134042553191489361703333"
"Taurus Film","1.12077352472089314195"
"Walden Media","1.116078709627096728469286"
"Participant Media","1.11229738515452800804"
"Gracie Films","1.111541005291005298148333"
"Saturn Films","1.11101731601731602035"
"Telecinco Cinema","1.11016548463356975106"
"Mediapro","1.10555555555555555556"
"DreamWorks Pictures","1.10060207991242474477"
"TSG Entertainment","1.099202597982195196411200"
"Baltimore Pictures","1.09289321789321788766"
"GAGA","1.08333333333333330000"
"Stuber Productions","1.07818792914627441594"
"Room 101","1.066666666666666666666667"
"Madhouse Entertainment","1.06666666666666665000"
"Red Granite Pictures","1.06515151515151516667"
"Worldview Entertainment","1.05447898098633392751"
"Down Productions","1.05065359477124184118"
"Tree Line Films","1.04577922077922079286"
"Westdeutscher Rundfunk (WDR)","1.04254143827105439487"
"Mr. Mudd Production","1.03455433455433454957"
"A Band Apart","1.032456140350877186316000"
"Spring Creek Productions","1.02789661146347192500"
"Shangri-La Entertainment","1.02444444444444443333"
"Ingenious Media","1.01798081685133298485"
"Open Road Films","1.00643939393939393939"
"Kramer & Sigman Films","1.00400000000000000000"
"Big Kid Pictures","1.00320512820512820513"
"Senator International","1.00000000000000000000"
"Sketch Films","1.00000000000000000000"
"Act III Communications","1.00000000000000000000"
"Reel Chefs Catering","1.00000000000000000000"
"Irwin Allen Productions","1.00000000000000000000"
"Sherwood Pictures","1.00000000000000000000"
"Big Indie Pictures","1.00000000000000000000"
"Ardustry Entertainment","1.00000000000000000000"
"Artfire Films","1.00000000000000000000"
"Thorn EMI Screen Entertainment","1.00000000000000000000"
"Lawrence Gordon Productions","0.99353348817337073239"
"Outlaw Productions (I)","0.98747795414462080000"
"40 Acres & A Mule Filmworks","0.981445868945868946795000"
"RatPac-Dune Entertainment","0.97248056455873839013"
"Cobalt Media Group","0.96947693850267380000"
"Lucky Red","0.96865894952358453422"
"Atmosphere Entertainment MM","0.96081585081585080252"
"Evolution Entertainment","0.95555555555555554444"
"Eric's Boy","0.95454545454545454546"
"Dune Entertainment","0.9421739865670860117449090909"
"Metro-Goldwyn-Mayer (MGM)","0.94050616909174417758"
"Warner Bros. Pictures","0.9357142857142857142850000000"
"Zucker/Netter Productions","0.93333333333333333333"
"StudioCanal","0.929632536837735502892500"
"Cinu00e9Cinu00e9ma","0.92871950684450683929"
"Threshold Entertainment","0.91666666666666668334"
"Eddie Murphy Productions","0.91666666666666666667"
"Imagi Animation Studios","0.91176470588235294118"
"Silver Screen Partners IV","0.91153697251258227979"
"Pathu00e9 Renn Productions","0.90619604008043886863"
"Thunder Road Pictures","0.90476641360851888300"
"Section Eight Productions","0.90075602079912425238"
"Handsomecharlie Films","0.897142857142857133333333"
"Beagle Pug Films","0.89473684210526315789"
"Don Carmody Productions","0.88888888888888890000"
"Aardman Animations","0.87777777777777778889"
"Demarest Films","0.87547008547008545897"
"Guy Walks into a Bar Productions","0.87500000000000000000"
"Signature Pictures","0.87404320987654320988"
"Sean S. Cunningham Films","0.87348484848484850000"
"Trigger Street Productions","0.86666666666666666667"
"Samuelson Productions","0.86046511627906976744"
"VIP Medienfonds 4","0.85185185185185185185"
"Don Simpson/Jerry Bruckheimer Films","0.85091360476663356189"
"Stage 6 Films","0.84438131313131313131"
"Octagon Films","0.83333333333333335000"
"RKO Radio Pictures","0.83079028251442045897"
"Kasdan Pictures","0.82285714285714284881"
"Relativity Media","0.820309361898964614739802"
"Color Force","0.819129600558171979487143"
"EMJAG Productions","0.81818181818181818182"
"Art Linson Productions","0.81742424242424242424"
"Lin Pictures","0.817072072072072080405000"
"Legendary Pictures","0.815157645980866859474375"
"Bedford Falls Company, The","0.80119047619047620715"
"Picturehouse Entertainment","0.80000000000000000000"
"Castle Rock Entertainment","0.79564341405045180855"
"Icon Productions","0.79166666666666666667"
"Will Packer Productions","0.79015151515151515000"
"Edward R. Pressman Film","0.78869047619047619048"
"Rogue","0.78571428571428571429"
"Dino De Laurentiis Company","0.78367235267460812418"
"Lionsgate","0.77793619403451774025"
"Type A Films","0.77777777777777777778"
"Hey Eddie","0.77596153846153845000"
"Alibaba Pictures Group","0.77051282051282051667"
"Cinu00e9+","0.76794910526193949043"
"Brandywine Productions","0.767658242658242657791667"
"Nina Saxon Film Design","0.76666666666666666667"
"Shady Acres Entertainment","0.76041666666666666667"
"ETIC Films","0.754981884057971016667500"
"Los Hooligans Productions","0.75187969924812030790"
"Antidote Films (I)","0.75000000000000000000"
"Jerry Weintraub Productions","0.74864081996434937611"
"The Kennedy/Marshall Company","0.74616865286838519857"
"Exclusive Media Group","0.74493813509809381842"
