"company_name","movie_title","revenue","revenue_quartile"
"A Band Apart","Four Rooms","4300000",4
"A Bigger Boat","House at the End of the Street","44287131",1
"A Grand Elephant","Only God Forgives","10337387",1
"A Happy Place","On the Line","0",1
"A Hot Dog","Wanderlust","24159934",1
"A Loopy Production LLC","May","150277",1
"A Lucky Old Sun Production","Shotgun Stories","0",1
"A May Sky Picture Entertainment","Theresa Is a Mother","0",1
"A Plus Image","Elle s'appelait Sarah","17511906",1
"A Space Between","Circumstance","0",1
"A&B Producoes","The Game","109423648",1
"A&E Television Networks","The Great Gatsby","351040419",1
"A. Film","Rejsen til Saturn","0",1
"A.J.O.Z. Films","Colombiana","60965854",1
"A.J.O.Z. Films","Bandidas","10496317",2
"A113","Tomorrowland","209154322",1
"A24","Ex Machina","36869414",1
"A24","Room","35401758",1
"A24","A Most Violent Year","12007070",1
"A24","While We're Young","7587485",2
"A24","The Spectacular Now","6854611",2
"A24","Under the Skin","5380251",3
"A24","Obvious Child","3123963",3
"A24","Tusk","1826705",4
"A24","Slow West","229094",4
"Aardman Animations","Chicken Run","224834564",1
"Aardman Animations","The Curse of the Were-Rabbit","192452832",1
"Aardman Animations","The Pirates! In an Adventure with Scientists!","118338361",2
"Aardman Animations","Flushed Away","64459316",3
"Aardman Animations","Arthur Christmas","0",4
"Abandon Entertainment","Max Payne","85416905",1
"Abbolita Productions","Yoga Hosers","0",1
"ABC Pictures","Charly","814666",1
"Abe Shuji","Space Battleship Yamato","11212294",1
"Abraham Productions","Abraham Lincoln: Vampire Hunter","112265139",1
"Absinthe Productions","Windsor Drive","0",1
"Absolute Entertainment (II)","Molly","0",1
"Abu Dhabi Film Commission","Furious 7","1506249360",1
"Abundant Productions","Run, Hide, Die","0",1
"Academy Films","Southland Tales","374743",1
"Academy Films","Birth","0",2
"Acajou Films","Q","0",1
"Access Films","Napoleon Dynamite","46118097",1
"Access Motion Picture Group","Dinner Rush","0",1
"Ace Film Company","Pound of Flesh","0",1
"Achte Babelsberg Film","Valkyrie","200276000",1
"Across the River Productions","Cop Land","44862187",1
"Act III","Stand by Me","52287414",1
"Act III Communications","Stand by Me","52287414",1
"Act III Communications","The Princess Bride","30857814",2
"Ad Hominem Enterprises","The Descendants","177243185",1
"Ad Hominem Enterprises","Cedar Rapids","6861102",2
"Ad Hominem Enterprises","The Savages","0",3
"Ada Films","Your Sister's Sister","3200000",1
"Adam Fields Productions","Brokedown Palace","13000000",1
"Adam Fields Productions","Donnie Darko","1270522",2
"Adam Productions","Adam Resurrected","0",1
"Adam Schroeder Productions","Chronicle","145000000",1
"Addis Wechsler Pictures","Love Jones","0",1
"Adela Pictures","Tango, no me dejes nunca","0",1
"ADF Acquisitions","Getaway","10501938",1
"Adlabs Films Ltd.","The Other End of the Line","0",1
"AdScott Pictures","For a Good Time, Call...","1243961",1
"Adventure Pictures","Yes","0",1
"AE Two Film Productions","Angel Eyes","29700000",1
"Aegis Film Fund","The King's Speech","414211549",1
"Aegis Film Fund","The Guard","19560274",2
"Affirm Films","Soul Surfer","47088990",1
"Affirm Films","Risen","46069568",1
"Affirm Films","Courageous","34522221",2
"Affirm Films","Fireproof","33456317",2
"Affirm Films","When the Game Stands Tall","30127963",3
"Affirm Films","Moms' Night Out","10429707",4
"AFG Talons Productions","Stealth","76932943",1
"Afrodita Audiovisual, A.I.E.","The Adventurer: The Curse of the Midas Box","6399",1
"After Dark Films","Getaway","10501938",1
"After Dark Films","Bullet to the Head","9489829",1
"After Dark Films","Re-Kill","0",2
"After Dark Films","An American Haunting","0",3
"After Dark Films","The Wicked Within","0",4
"After Eden Pictures","8 Days","0",1
"Against the Wild Films","Against the Wild","0",1
"Agencja Produkcji Filmowej","The Pianist","120072577",1
"Aggregate Film","Bad Words","7800000",1
"Aggregate Films","Identity Thief","173965010",1
"Agi Orsi Productions","Dogtown and Z-Boys","0",1
"Agresywna Banda","Closer to the Moon","0",1
"Ahimsa Films","The Gift","58978653",1
"AI-Film","The Forest","40055439",1
"Airborne Productions","The Singing Detective","0",1
"Aitysh Film","Kurmanjan Datka. Queen of the Mountains","0",1
"Aja / Levasseur Productions","Piranha 3D","83188165",1
"Akil Production Company","Sparkle","24637469",1
"Akira Committee Company Ltd.","アキラ","553171",1
"Alabama Production Group","Courageous","34522221",1
"Alameda Films","El Crimen del Padre Amaro","0",1
"Alan Greenspan Productions","Fever Pitch","50451307",1
"Alan Jay Lerner Productions","Paint Your Wagon","31678778",1
"Alan Young Pictures","Manderlay","674918",1
"Albert S. Ruddy Productions","Million Dollar Baby","216763646",1
"Albert S. Ruddy Productions","Sabotage","17508518",2
"Alberta Film Entertainment","Brokeback Mountain","178043761",1
"Alberta Film Entertainment","The Assassination of Jesse James by the Coward Robert Ford","14711793",2
"Alberta Film Entertainment","Resurrecting the Champ","0",3
"Alberto Grimaldi Productions","Gangs of New York","193772504",1
"Albino Alligator Productions","Albino Alligator","0",1
"Alcon Entertainment","The Blind Side","309208309",1
"Alcon Entertainment","The Book of Eli","157107755",1
"Alcon Entertainment","P.S. I Love You","156835339",1
"Alcon Entertainment","Point Break","133718711",1
"Alcon Entertainment","Prisoners","122126687",1
"Alcon Entertainment","Insomnia","113714830",1
"Alcon Entertainment","Transcendence","103039258",2
"Alcon Entertainment","Dolphin Tale","95404397",2
"Alcon Entertainment","Racing Stripes","93772522",2
"Alcon Entertainment","What to Expect When You're Expecting","79700000",2
"Alcon Entertainment","Dude, Where’s My Car?","73180723",2
"Alcon Entertainment","16 Blocks","65664721",2
"Alcon Entertainment","Beautiful Creatures","60052138",3
"Alcon Entertainment","Something Borrowed","59901913",3
"Alcon Entertainment","Dolphin Tale 2","52424533",3
"Alcon Entertainment","The Sisterhood of the Traveling Pants","39053061",3
"Alcon Entertainment","The 33","24902723",3
"Alcon Entertainment","Chernobyl Diaries","18112929",4
"Alcon Entertainment","Chasing Liberty","12",4
"Alcon Entertainment","One Missed Call","0",4
"Alcon Entertainment","My Dog Skip","0",4
"Alcon Entertainment","Joyful Noise","0",4
"Alcor Films","The Client","117615211",1
"Alcor Films","Memoirs of an Invisible Man","14358033",2
"Aldamisa Entertainment","Sin City: A Dame to Kill For","39407616",1
"Aldamisa Entertainment","Machete Kills","15008161",2
"Aldamisa Entertainment","Red Sky","0",3
"Aldrich Group","Flight of the Phoenix","21009180",1
"Alex Entertainment Inc.","Highway","0",1
"Alexandre Films","Haute tension","0",1
"Alfama Films","La chambre bleue","0",1
"Alfran Productions","The Godfather","245066411",1
"Alfred J. Hitchcock Productions","The Trouble with Harry","7000000",1
"Algonquin Productions Limited","Silent Trigger","76382",1
"Alibaba Pictures Group","Mission: Impossible - Rogue Nation","682330139",1
"Alibaba Pictures Group","Star Trek Beyond","343471816",2
"Alibaba Pictures Group","天將雄師","121545703",3
"AliBella Pictures","The Curse of Downers Grove","0",1
"Alive Films","They Live","13008928",1
"All Girl Productions","Divine Secrets of the Ya-Ya Sisterhood","0",1
"All Knight Productions","Shanghai Knights","88323487",1
"All Lit Up Productions","Deck the Halls","47231070",1
"All Night Productions","Waiting for Guffman","0",1
"All Pictures Media","Taken","226830568",1
"Allagash Films","Metropolitan","0",1
"Allan Zeman Productions","An American Haunting","0",1
"Allegiance Theater","Money Monster","93282604",1
"Alliance Atlantis Communications","Munich","130358911",1
"Alliance Atlantis Communications","Bowling for Columbine","35564473",1
"Alliance Atlantis Communications","eXistenZ","2856712",1
"Alliance Atlantis Communications","The 51st State","14",2
"Alliance Atlantis Communications","Ararat","0",2
"Alliance Atlantis Communications","The Claim","0",2
"Alliance Atlantis Communications","In the Company of Men","0",3
"Alliance Atlantis Communications","Owning Mahowny","0",3
"Alliance Atlantis Communications","Felicia's Journey","0",3
"Alliance Atlantis Communications","The Good Thief","0",4
"Alliance Atlantis Communications","Saint Ralph","0",4
"Alliance Communications","The Sweet Hereafter","3263585",1
"Alliance de Production Cinematographique (APC)","La Marche de l'empereur","127392239",1
"Alliance Entertainment","The Wraith","3500000",1
"Alliance Entertainment","Exotica","0",2
"Alliance Films","The Woman in Black","127730736",1
"Alliance Films","Insidious","97009150",1
"Alliance Films","Sinister","77712439",1
"Alliance Films","Sinister 2","52882018",1
"Alliance Films","Blindness","19844979",2
"Alliance Films","Shame","17693675",2
"Alliance Films","Vanity Fair","16123851",2
"Alliance Films","Prom Night","14796236",3
"Alliance Films","The Lords of Salem","1165882",3
"Alliance Films","Defendor","44462",3
"Alliance Films","Antiviral","0",4
"Alliance Films","Gunless","0",4
"Alliance Films","Inescapable","0",4
"Allied Artists","Lolita","9250000",1
"Allied Artists Pictures","55 Days at Peking","10000000",1
"Allied Filmmakers","The Legend of Bagger Vance","39459427",1
"Allied Filmmakers","Confessions of a Dangerous Mind","33013805",2
"Allied Filmmakers","Super Mario Bros.","20915465",3
"Allied Filmmakers","The Thief and the Cobbler","669276",4
"Allied Stars, Ltd.","Chariots of Fire","58972904",1
"Allied Vision","The Lawnmower Man","32101000",1
"Allison Shearmur Productions","Cinderella","543514353",1
"Allison Shearmur Productions","Nerve","83707310",2
"Alloy Entertainment","The Sisterhood of the Traveling Pants","39053061",1
"Alloy Entertainment","Sex Drive","18755936",2
"Allure Entertainment","House at the End of the Drive","0",1
"Almerica Films","Karakter","0",1
"Aloha Pictures","My Big Fat Independent Movie","0",1
"Alpha Core","Elysium","286140700",1
"Alpha Core","Chappie","104399548",2
"Alphaville Films","The Mummy Returns","433013274",1
"Alphaville Films","The Mummy: Tomb of the Dragon Emperor","401128639",1
"Alphaville Films","The Scorpion King","165333180",1
"Alphaville Films","The Jackal","159330280",2
"Alphaville Films","Rat Race","85498534",2
"Alphaville Films","The Hunted","34234008",3
"Alphaville Films","Dark Blue","9237470",3
"Alphaville Films","Mallrats","2122561",4
"Alphaville Films","Down to Earth","0",4
"Alphaville Productions","Intolerable Cruelty","119940815",1
"Alphaville Productions","Dazed and Confused","7993039",2
"Also Known As Pictures","The Words","13231461",1
"Alta Loma Entertainment","The House Bunny","70442940",1
"Altavista Films","Amores perros","20908467",1
"Altitude Entertainment","Fifty Dead Men Walking","0",1
"Alvernia Studios","Arbitrage","35485056",1
"Amaro Films","Departure","0",1
"Amasia Entertainment","The Call","68572378",1
"Amaze Film + Television","Saint Ralph","0",1
"Amazon Prime Instant Video","Paddington","259207227",1
"Amazon Prime Instant Video","The Gunman","13644292",2
"Amazon Prime Instant Video","Our Kind of Traitor","9930095",3
"Amazon Studios","The Neon Demon","1333124",1
"Amberdale Productions","Rudderless","0",1
"Ambience Entertainment","Killer Elite","57777106",1
"Ambience Entertainment","The Loved Ones","0",2
"Ambient Entertainment GmbH","Konferenz der Tiere","0",1
"Amblin Entertainment","Jurassic World","1513528810",1
"Amblin Entertainment","Transformers: Age of Extinction","1091405097",1
"Amblin Entertainment","Jurassic Park","920100000",1
"Amblin Entertainment","Transformers: Revenge of the Fallen","836297228",1
"Amblin Entertainment","E.T. the Extra-Terrestrial","792910554",1
"Amblin Entertainment","Transformers","709709780",1
"Amblin Entertainment","Men in Black 3","624026776",1
"Amblin Entertainment","War of the Worlds","591739379",1
"Amblin Entertainment","Men in Black","589390539",1
"Amblin Entertainment","Twister","494471524",1
"Amblin Entertainment","Saving Private Ryan","481840909",1
"Amblin Entertainment","Men in Black II","441818803",1
"Amblin Entertainment","Back to the Future","381109762",1
"Amblin Entertainment","The Adventures of Tintin","371940071",2
"Amblin Entertainment","Jurassic Park III","368780809",2
"Amblin Entertainment","Minority Report","358372926",2
"Amblin Entertainment","The Flintstones","341631208",2
"Amblin Entertainment","Back to the Future Part II","332000000",2
"Amblin Entertainment","Schindler's List","321365567",2
"Amblin Entertainment","Hook","300854823",2
"Amblin Entertainment","Casper","287928194",2
"Amblin Entertainment","Lincoln","275293450",2
"Amblin Entertainment","Super 8","260095987",2
"Amblin Entertainment","The Mask of Zorro","250288523",2
"Amblin Entertainment","Back to the Future Part III","244527583",2
"Amblin Entertainment","A.I. Artificial Intelligence","235926552",3
"Amblin Entertainment","The Lost World: Jurassic Park","229074524",3
"Amblin Entertainment","The Terminal","219417255",3
"Amblin Entertainment","The BFG","183345589",3
"Amblin Entertainment","Cape Fear","182300000",3
"Amblin Entertainment","The Bridges of Madison County","182016617",3
"Amblin Entertainment","War Horse","177584879",3
"Amblin Entertainment","Bridge of Spies","165478348",3
"Amblin Entertainment","Gremlins","153083102",3
"Amblin Entertainment","The Color Purple","146292009",3
"Amblin Entertainment","The Legend of Zorro","142400065",3
"Amblin Entertainment","Monster House","140175006",3
"Amblin Entertainment","Munich","130358911",4
"Amblin Entertainment","Hereafter","105197635",4
"Amblin Entertainment","The Hundred-Foot Journey","88880821",4
"Amblin Entertainment","The Land Before Time","84460846",4
"Amblin Entertainment","Letters from Iwo Jima","68673228",4
"Amblin Entertainment","Flags of Our Fathers","65900249",4
"Amblin Entertainment","The Flintstones in Viva Rock Vegas","59468275",4
"Amblin Entertainment","Small Soldiers","54682547",4
"Amblin Entertainment","Arachnophobia","53208180",4
"Amblin Entertainment","Gremlins 2: The New Batch","41482207",4
"Amblin Entertainment","In Dreams","0",4
"Amblin Entertainment","Young Sherlock Holmes","0",4
"Ambush Entertainment","Super","324138",1
